"name","Origin","Year","Total"
"Bulgaria","Afghanistan",2010,58
"Canada","Afghanistan",2010,392
"Croatia","Afghanistan",2010,107
"Cyprus","Afghanistan",2010,41
"Czech Republic","Afghanistan",2010,6
"Denmark","Afghanistan",2010,1476
"Estonia","Afghanistan",2010,9
"Finland","Afghanistan",2010,265
"France","Afghanistan",2010,770
"Germany","Afghanistan",2010,5905
"Greece","Afghanistan",2010,524
"Hungary","Afghanistan",2010,796
"Iceland","Afghanistan",2010,7
"Ireland","Afghanistan",2010,69
"Italy","Afghanistan",2010,873
"Japan","Afghanistan",2010,1
"Latvia","Afghanistan",2010,23
"Lithuania","Afghanistan",2010,26
"Luxembourg","Afghanistan",2010,12
"Netherlands","Afghanistan",2010,1364
"New Zealand","Afghanistan",2010,4
"Norway","Afghanistan",2010,930
"Poland","Afghanistan",2010,25
"Portugal","Afghanistan",2010,2
"South Korea","Afghanistan",2010,15
"Romania","Afghanistan",2010,120
"Serbia","Afghanistan",2010,425
"Slovakia","Afghanistan",2010,76
"Slovenia","Afghanistan",2010,23
"Spain","Afghanistan",2010,41
"Sweden","Afghanistan",2010,2397
"Switzerland","Afghanistan",2010,632
"Macedonia [FYROM]","Afghanistan",2010,71
"Turkey","Afghanistan",2010,1248
"United Kingdom","Afghanistan",2010,1835
"United States","Afghanistan",2010,156
"Australia","Afghanistan",2011,1719
"Austria","Afghanistan",2011,3623
"Belgium","Afghanistan",2011,2773
"Bosnia and Herzegovina","Afghanistan",2011,2
"Bulgaria","Afghanistan",2011,80
"Canada","Afghanistan",2011,397
"Croatia","Afghanistan",2011,487
"Cyprus","Afghanistan",2011,16
"Czech Republic","Afghanistan",2011,25
"Denmark","Afghanistan",2011,903
"Estonia","Afghanistan",2011,8
"Finland","Afghanistan",2011,292
"France","Afghanistan",2011,651
"Germany","Afghanistan",2011,7767
"Greece","Afghanistan",2011,637
"Hungary","Afghanistan",2011,649
"Iceland","Afghanistan",2011,3
"Ireland","Afghanistan",2011,67
"Italy","Afghanistan",2011,1429
"Japan","Afghanistan",2011,4
"Latvia","Afghanistan",2011,3
"Liechtenstein","Afghanistan",2011,3
"Lithuania","Afghanistan",2011,45
"Luxembourg","Afghanistan",2011,21
"Montenegro","Afghanistan",2011,8
"Netherlands","Afghanistan",2011,1885
"New Zealand","Afghanistan",2011,11
"Norway","Afghanistan",2011,948
"Poland","Afghanistan",2011,33
"Portugal","Afghanistan",2011,4
"South Korea","Afghanistan",2011,60
"Romania","Afghanistan",2011,107
"Serbia","Afghanistan",2011,1757
"Slovakia","Afghanistan",2011,65
"Slovenia","Afghanistan",2011,57
"Spain","Afghanistan",2011,30
"Sweden","Afghanistan",2011,4120
"Switzerland","Afghanistan",2011,1006
"Macedonia [FYROM]","Afghanistan",2011,427
"Turkey","Afghanistan",2011,2486
"United Kingdom","Afghanistan",2011,1529
"United States","Afghanistan",2011,219
"Albania","Afghanistan",2012,1
"Australia","Afghanistan",2012,3064
"Austria","Afghanistan",2012,4003
"Belgium","Afghanistan",2012,2349
"Bulgaria","Afghanistan",2012,95
"Canada","Afghanistan",2012,362
"Croatia","Afghanistan",2012,365
"Cyprus","Afghanistan",2012,51
"Czech Republic","Afghanistan",2012,10
"Denmark","Afghanistan",2012,576
"Estonia","Afghanistan",2012,3
"Finland","Afghanistan",2012,188
"France","Afghanistan",2012,522
"Germany","Afghanistan",2012,7498
"Greece","Afghanistan",2012,584
"Hungary","Afghanistan",2012,880
"Iceland","Afghanistan",2012,9
"Ireland","Afghanistan",2012,31
"Italy","Afghanistan",2012,1495
"Japan","Afghanistan",2012,4
"Latvia","Afghanistan",2012,4
"Liechtenstein","Afghanistan",2012,3
"Lithuania","Afghanistan",2012,73
"Luxembourg","Afghanistan",2012,11
"Montenegro","Afghanistan",2012,119
"Netherlands","Afghanistan",2012,1022
"New Zealand","Afghanistan",2012,9
"Norway","Afghanistan",2012,987
"Poland","Afghanistan",2012,88
"Portugal","Afghanistan",2012,5
"South Korea","Afghanistan",2012,4
"Romania","Afghanistan",2012,200
"Serbia","Afghanistan",2012,815
"Slovakia","Afghanistan",2012,63
"Slovenia","Afghanistan",2012,50
"Spain","Afghanistan",2012,46
"Sweden","Afghanistan",2012,4755
"Switzerland","Afghanistan",2012,1349
"Macedonia [FYROM]","Afghanistan",2012,243
"Turkey","Afghanistan",2012,14146
"United Kingdom","Afghanistan",2012,1234
"United States","Afghanistan",2012,204
"Australia","Afghanistan",2013,370
"Austria","Afghanistan",2013,2589
"Belgium","Afghanistan",2013,892
"Bosnia and Herzegovina","Afghanistan",2013,6
"Bulgaria","Afghanistan",2013,304
"Canada","Afghanistan",2013,386
"Croatia","Afghanistan",2013,185
"Cyprus","Afghanistan",2013,6
"Czech Republic","Afghanistan",2013,8
"Denmark","Afghanistan",2013,425
"Estonia","Afghanistan",2013,1
"Finland","Afghanistan",2013,172
"France","Afghanistan",2013,526
"Germany","Afghanistan",2013,7735
"Greece","Afghanistan",2013,1223
"Hungary","Afghanistan",2013,2279
"Iceland","Afghanistan",2013,4
"Ireland","Afghanistan",2013,32
"Italy","Afghanistan",2013,2049
"Japan","Afghanistan",2013,3
"Liechtenstein","Afghanistan",2013,1
"Lithuania","Afghanistan",2013,45
"Luxembourg","Afghanistan",2013,17
"Montenegro","Afghanistan",2013,186
"Netherlands","Afghanistan",2013,673
"New Zealand","Afghanistan",2013,7
"Norway","Afghanistan",2013,720
"Poland","Afghanistan",2013,43
"Portugal","Afghanistan",2013,2
"South Korea","Afghanistan",2013,27
"Romania","Afghanistan",2013,39
"Serbia","Afghanistan",2013,492
"Slovakia","Afghanistan",2013,84
"Slovenia","Afghanistan",2013,14
"Spain","Afghanistan",2013,66
"Sweden","Afghanistan",2013,3011
"Switzerland","Afghanistan",2013,863
"Macedonia [FYROM]","Afghanistan",2013,262
"Turkey","Afghanistan",2013,8726
"United Kingdom","Afghanistan",2013,1456
"United States","Afghanistan",2013,186
"Australia","Afghanistan",2014,127
"Austria","Afghanistan",2014,4916
